beryllium, animal brooch, seductress, tall, narrow hips, triangular face, fair skin, dark brown hair, coral eyes, long nose, thick lips, round chin, long hair, thick hair, formal braided updo, round breasts, hoop earrings, silver, velvet lipstick, purple velvet bra and panty set with lace trim
gallium, statement necklace, phenom, short, thin, round face, fair skin, platinum blonde hair, hazel eyes, [[curved nose]], thin lips, sharp chin, shoulder-length hair, fine hair, blunt cut bangs, firm breasts, drop earrings, peach, metallic lipstick, pink lace chemise with ruffle details
gallium, statement necklace, seductress, short, lean, triangular face, fair skin, honey blonde hair, amber eyes, long nose, thick lips, prominent chin, shoulder-length hair, thick hair, straight bob with layers, large breasts, threader earrings, terracotta, gloss lipstick, black leather bralette and panty set
gallium, tassel necklace, starlet, average height, thin, heart-shaped face, fair skin, auburn hair, silver eyes, straight nose, full lips, prominent chin, shoulder-length hair, thick hair, voluminous waves, round breasts, drop earrings, peach, stain lipstick, plum satin and lace bustier
gallium, tennis bracelet, luminary, tall, toned, triangular face, dark skin, platinum blonde hair, dark brown eyes, narrow nose, thin lips, sharp chin, long hair, wavy hair, fauxhawk, round breasts, threader earrings, magenta, metallic lipstick, red satin kimono with lace sleeve detail
gallium, tennis necklace, belle, tall, skinny, triangular face, fair skin, black hair, brown eyes, short nose, pouty lips, prominent chin, shoulder-length hair, thick hair, messy bun, large breasts, faux gauge earrings, black, gloss lipstick, black cutout bodysuit with zipper
gallium, toe ring, artist, average height, slim, diamond-shaped face, tan skin, platinum blonde hair, grey-blue eyes, [[curved nose]], thick lips, round chin, shoulder-length hair, coarse hair, high bun, natural breasts, clip-on earrings, orange, matte lipstick, red mesh chemise with strappy back detail
gallium, toe ring, empress, short, in shape, triangular face, tan skin, gray hair, blue eyes with green flecks, long nose, thick lips, sharp chin, long hair, thick hair, curled bob, asymmetrical breasts, threader earrings, peach, velvet lipstick, white lace bralette and boyshorts set
gallium, toe ring, heiress, short, athletic, triangular face, dark skin, honey blonde hair, green eyes, long nose, pouty lips, receding chin, shoulder-length hair, fine hair, side-swept bangs, small breasts, cuff earrings, peach, metallic lipstick, black cutout bodysuit with zipper
gallium, toggle bracelet, madam, short, lean, oval face, olive skin, light brown hair, blue eyes with green flecks, short nose, thin lips, sharp chin, long hair, fine hair, wavy updo, round breasts, stud earrings, grape, metallic lipstick, gold strappy bodysuit
gallium, torc necklace, chanteuse, short, skinny, diamond-shaped face, olive skin, brunette hair, brown eyes, straight nose, thick lips, sharp chin, long hair, fine hair, fringed bangs, large breasts, threader earrings, black, matte lipstick, charcoal sheer bra and panty set
gallium, torc necklace, sensation, average height, fit, triangular face, dark skin, gray hair, gray eyes, straight nose, thin lips, sharp chin, long hair, fine hair, beach waves, round breasts, stud earrings, coral, stain lipstick, blue strappy bodysuit with cutouts
gallium, vintage brooch, enchantress, tall, athletic, heart-shaped face, tan skin, gray hair, red eyes, wide nose, pouty lips, receding chin, long hair, wavy hair, blunt bangs, asymmetrical breasts, cuff earrings, shimmer, sheer lipstick, maroon satin and lace corset
gallium, vintage brooch, lady, tall, narrow hips, diamond-shaped face, olive skin, silver hair, jade eyes, wide nose, thin lips, sharp chin, shoulder-length hair, curly hair, half up half down, firm breasts, huggie earrings, orange, sheer lipstick, purple velvet bra and panty set with lace trim
gallium, watch bracelet, empress, short, in shape, diamond-shaped face, fair skin, black hair, hazel eyes, long nose, pouty lips, prominent chin, shoulder-length hair, thick hair, lace braid, natural breasts, dangle earrings, teal, metallic lipstick, crimson velvet cami and short set
gallium, watch bracelet, goddess, average height, fit, square face, tan skin, brunette hair, blue eyes, narrow nose, thick lips, sharp chin, shoulder-length hair, wavy hair, waterfall braid, asymmetrical breasts, threader earrings, grape, metallic lipstick, yellow mesh bralette and high-waisted panty set
gallium, watch bracelet, queen, tall, lean, heart-shaped face, fair skin, honey blonde hair, blue eyes, [[curved nose]], pouty lips, prominent chin, shoulder-length hair, curly hair, angled bob, augmented breasts, faux gauge earrings, brown, gloss lipstick, crimson velvet cami and short set
gallium, watch bracelet, trailblazer, average height, toned, round face, dark skin, dark brown hair, coral eyes, narrow nose, thin lips, sharp chin, shoulder-length hair, curly hair, double braided crown, natural breasts, stud earrings, violet, sheer lipstick, white sheer teddy with lace trim
germanium, animal brooch, artist, average height, firm, oval face, olive skin, blonde hair, hazel eyes with green flecks, short nose, thick lips, sharp chin, shoulder-length hair, straight hair, loose curls, augmented breasts, clip-on earrings, mauve, gloss lipstick, grey faux leather corset
germanium, animal brooch, miss, tall, toned, diamond-shaped face, dark skin, strawberry blonde hair, blue eyes with green flecks, long nose, thin lips, prominent chin, shoulder-length hair, coarse hair, long straight hair, round breasts, stud earrings, teal, sheer lipstick, green satin robe with lace trim
germanium, animal brooch, queen, tall, lean, round face, dark skin, blonde hair, turquoise eyes, long nose, full lips, prominent chin, shoulder-length hair, coarse hair, tousled waves, asymmetrical breasts, faux gauge earrings, teal, stain lipstick, green silk bralette and panty set
germanium, animal brooch, superwoman, tall, fit, round face, tan skin, chestnut hair, blue eyes, [[curved nose]], full lips, sharp chin, long hair, straight hair, voluminous waves, round breasts, dangle earrings, peach, velvet lipstick, pink lace garter slip with matching thong
germanium, animal brooch, trailblazer, short, slim, round face, olive skin, red hair, red eyes, straight nose, thick lips, sharp chin, long hair, coarse hair, long wavy hair, round breasts, dangle earrings, magenta, stain lipstick, silver sequin bralette
germanium, ankle bracelet, madame, short, skinny, round face, olive skin, light brown hair, turquoise eyes, straight nose, pouty lips, receding chin, long hair, fine hair, waterfall braid, asymmetrical breasts, stud earrings, burgundy, cream lipstick, mint green mesh teddy
germanium, ankle cuff, dame, average height, wide hips, square face, fair skin, platinum blonde hair, jade eyes, narrow nose, thick lips, sharp chin, long hair, coarse hair, blunt cut bangs, natural breasts, faux gauge earrings, soft pink, metallic lipstick, white sheer teddy with lace trim
germanium, ankle cuff, luminary, tall, athletic, round face, tan skin, brunette hair, blue eyes, short nose, thick lips, round chin, shoulder-length hair, thick hair, fishtail braid, large breasts, dangle earrings, brown, velvet lipstick, yellow lace halter bralette and thong set
germanium, ankle cuff, seductress, average height, firm, square face, fair skin, dark brown hair, jade eyes, straight nose, thick lips, sharp chin, long hair, fine hair, braided headband, round breasts, hoop earrings, fuchsia, matte lipstick, navy blue satin garter belt with suspenders
germanium, ankle cuff, superwoman, average height, skinny, diamond-shaped face, fair skin, blonde hair, aquamarine eyes, short nose, thin lips, prominent chin, long hair, thick hair, dutch braid, full breasts, stud earrings, violet, gloss lipstick, brown strappy bodysuit
germanium, ankle cuff, trailblazer, average height, toned, square face, dark skin, silver hair, amber eyes, [[curved nose]], thin lips, receding chin, long hair, straight hair, long straight hair, firm breasts, drop earrings, silver, sheer lipstick, black cutout bodysuit with zipper
germanium, ankle strap, enchantress, average height, narrow hips, triangular face, olive skin, chestnut hair, blue eyes, long nose, pouty lips, round chin, shoulder-length hair, wavy hair, middle part bangs, small breasts, dangle earrings, rose, cream lipstick, lavender lace bra and panty set
germanium, ankle strap, seductress, tall, lean, round face, tan skin, chestnut hair, blue eyes, short nose, thin lips, prominent chin, long hair, straight hair, viking braid, perky breasts, hoop earrings, lavender, cream lipstick, crimson velvet cami and short set
germanium, ankle strap, siren, average height, thin, triangular face, fair skin, strawberry blonde hair, gray eyes, narrow nose, thick lips, sharp chin, long hair, curly hair, straight bob with layers, firm breasts, dangle earrings, plum, stain lipstick, grey faux leather corset
germanium, ankle strap, woman, short, toned, square face, fair skin, black hair, gold eyes, wide nose, pouty lips, round chin, shoulder-length hair, wavy hair, layered bob, round breasts, clip-on earrings, golden, metallic lipstick, purple mesh babydoll with matching g-string
germanium, anklet, escort, short, slim, diamond-shaped face, dark skin, black hair, blue eyes, short nose, pouty lips, sharp chin, shoulder-length hair, fine hair, ballerina bun, soft breasts, threader earrings, gloss, matte lipstick, brown strappy bodysuit
germanium, bangle bracelet, starlet, short, slim, heart-shaped face, tan skin, gray hair, black eyes, straight nose, thick lips, receding chin, long hair, thick hair, long straight hair, natural breasts, cuff earrings, burgundy, stain lipstick, pink floral corset
germanium, beaded bracelet, queen, short, narrow hips, oval face, fair skin, red hair, red eyes, [[curved nose]], thick lips, prominent chin, shoulder-length hair, thick hair, sock bun, perky breasts, stud earrings, orange, stain lipstick, pink floral corset
germanium, beaded necklace, chanteuse, tall, lean, heart-shaped face, fair skin, gray hair, light blue eyes, straight nose, full lips, prominent chin, long hair, coarse hair, fishtail braid, firm breasts, stud earrings, hot pink, satin lipstick, red satin kimono with lace sleeve detail
germanium, beaded necklace, luminary, short, wide hips, triangular face, olive skin, red hair, hazel eyes, long nose, thick lips, round chin, long hair, coarse hair, messy bun, perky breasts, huggie earrings, hot pink, stain lipstick, crimson velvet cami and short set
germanium, beaded necklace, seductress, tall, athletic, oval face, fair skin, honey blonde hair, purple eyes, wide nose, full lips, sharp chin, long hair, thick hair, donut bun, natural breasts, stud earrings, magenta, gloss lipstick, pink lace garter slip with matching thong
germanium, bib necklace, duchess, short, athletic, round face, fair skin, strawberry blonde hair, brown eyes, wide nose, thick lips, round chin, shoulder-length hair, curly hair, fishbone braid, augmented breasts, clip-on earrings, gloss, gloss lipstick, plum satin and lace bustier
germanium, bib necklace, maven, tall, thin, oval face, fair skin, silver hair, purple eyes, wide nose, pouty lips, receding chin, shoulder-length hair, thick hair, middle part bangs, full breasts, clip-on earrings, coral, gloss lipstick, brown strappy bodysuit
germanium, brooch pin, duchess, tall, slim, oval face, dark skin, white hair, peach eyes, straight nose, full lips, sharp chin, shoulder-length hair, straight hair, rope braid, asymmetrical breasts, cuff earrings, beige, satin lipstick, turquoise sheer chemise with cutouts
germanium, brooch pin, madam, average height, slim, oval face, dark skin, silver hair, peach eyes, long nose, thick lips, prominent chin, shoulder-length hair, fine hair, tousled waves, soft breasts, faux gauge earrings, magenta, sheer lipstick, brown strappy bodysuit
germanium, brooch, duchess, average height, skinny, heart-shaped face, dark skin, golden blonde hair, gray eyes, short nose, full lips, sharp chin, shoulder-length hair, curly hair, low ponytail, firm breasts, faux gauge earrings, cherry, matte lipstick, pink lace garter slip with matching thong
germanium, brooch, duchess, tall, skinny, round face, tan skin, platinum blonde hair, green eyes, long nose, full lips, prominent chin, shoulder-length hair, coarse hair, waterfall braid, perky breasts, huggie earrings, rust, satin lipstick, blue satin and lace cami and short set
germanium, brooch, madam, tall, fit, round face, olive skin, strawberry blonde hair, black eyes, long nose, full lips, sharp chin, long hair, coarse hair, short afro, augmented breasts, dangle earrings, fuchsia, cream lipstick, purple velvet bra and panty set with lace trim
germanium, brooch, maven, average height, skinny, triangular face, tan skin, blonde hair, gold eyes, wide nose, pouty lips, round chin, long hair, straight hair, double braided crown, saggy breasts, clip-on earrings, hot pink, matte lipstick, silver sequin bralette
germanium, chain bracelet, chanteuse, tall, firm, heart-shaped face, dark skin, gray hair, black eyes, long nose, thick lips, sharp chin, shoulder-length hair, curly hair, swept bangs, large breasts, cuff earrings, nude, velvet lipstick, green silk bralette and panty set
germanium, chain bracelet, gal, short, thin, triangular face, tan skin, silver hair, turquoise eyes, short nose, full lips, receding chin, shoulder-length hair, fine hair, short afro, full breasts, hoop earrings, violet, sheer lipstick, cream sequin bra and pant set
germanium, chain necklace, female warrior, short, skinny, oval face, olive skin, light brown hair, amethyst eyes, [[curved nose]], pouty lips, round chin, long hair, wavy hair, rope braid, large breasts, hoop earrings, beige, metallic lipstick, purple velvet robe with fur trim
germanium, chain necklace, phenom, short, athletic, triangular face, fair skin, chestnut hair, brown eyes with green flecks, [[curved nose]], thick lips, receding chin, long hair, straight hair, short afro, full breasts, threader earrings, nude, stain lipstick, grey faux leather corset
germanium, chain necklace, siren, short, lean, heart-shaped face, dark skin, dark brown hair, grey eyes, long nose, full lips, round chin, shoulder-length hair, coarse hair, braided updo, soft breasts, huggie earrings, rose, metallic lipstick, green sequin slip dress with thigh-high slits
germanium, charm bracelet, gal, tall, toned, triangular face, dark skin, strawberry blonde hair, silver eyes, [[curved nose]], thin lips, prominent chin, shoulder-length hair, wavy hair, loose waves, soft breasts, stud earrings, peach, stain lipstick, navy blue satin garter belt with suspenders
germanium, choker, countess, tall, wide hips, triangular face, olive skin, red hair, dark brown eyes, long nose, pouty lips, receding chin, shoulder-length hair, coarse hair, bouncy curls, natural breasts, hoop earrings, magenta, satin lipstick, navy blue satin garter belt with suspenders
germanium, cocktail brooch, escort, average height, in shape, round face, fair skin, gray hair, pink eyes, wide nose, full lips, sharp chin, shoulder-length hair, thick hair, shoulder-length curls, large breasts, stud earrings, pink, metallic lipstick, black cutout bodysuit with zipper
germanium, cocktail brooch, gal, average height, firm, round face, fair skin, brunette hair, ice blue eyes, [[curved nose]], full lips, prominent chin, long hair, fine hair, low chignon, large breasts, stud earrings, berry, velvet lipstick, red satin babydoll
germanium, cocktail ring, enchantress, average height, wide hips, square face, dark skin, platinum blonde hair, blue eyes, straight nose, thin lips, sharp chin, long hair, straight hair, braided crown, asymmetrical breasts, dangle earrings, rust, cream lipstick, tan faux leather slip dress
germanium, cocktail ring, vixen, tall, athletic, round face, olive skin, silver hair, hazel eyes, [[curved nose]], full lips, round chin, long hair, wavy hair, high ponytail, large breasts, faux gauge earrings, soft pink, metallic lipstick, white lace bralette and boyshorts set
germanium, collar necklace, temptress, tall, in shape, round face, olive skin, dark brown hair, sapphire eyes, straight nose, full lips, prominent chin, shoulder-length hair, thick hair, donut bun, full breasts, huggie earrings, magenta, velvet lipstick, lavender lace bra and panty set
germanium, cuff bracelet, mistress, average height, wide hips, round face, fair skin, red hair, brown eyes with green flecks, long nose, thick lips, round chin, shoulder-length hair, curly hair, braided headband, soft breasts, dangle earrings, green, sheer lipstick, yellow mesh bralette and high-waisted panty set
germanium, friendship bracelet, goddess, short, in shape, diamond-shaped face, olive skin, white hair, brown eyes with green flecks, wide nose, pouty lips, sharp chin, shoulder-length hair, curly hair, long wavy hair, round breasts, clip-on earrings, mauve, velvet lipstick, gold strappy bodysuit
germanium, locket necklace, queen, short, slim, square face, tan skin, auburn hair, blue eyes, short nose, pouty lips, round chin, long hair, fine hair, high bun, natural breasts, faux gauge earrings, orange, sheer lipstick, white sheer teddy with lace trim
germanium, locket necklace, woman, short, toned, diamond-shaped face, dark skin, white hair, hazel eyes, long nose, thick lips, prominent chin, long hair, thick hair, french twist, large breasts, cuff earrings, cream, velvet lipstick, red satin babydoll
germanium, multi-strand necklace, visionary, short, slim, round face, fair skin, dark brown hair, blue eyes with green flecks, short nose, pouty lips, prominent chin, long hair, thick hair, bouncy curls, asymmetrical breasts, stud earrings, magenta, metallic lipstick, black leather bralette and panty set
germanium, necklace, enchantress, average height, firm, heart-shaped face, olive skin, strawberry blonde hair, peach eyes, [[curved nose]], thick lips, prominent chin, long hair, coarse hair, viking braid, perky breasts, cuff earrings, green, cream lipstick, pink lace garter slip with matching thong
germanium, pearl necklace, artist, short, athletic, oval face, olive skin, silver hair, sapphire eyes, narrow nose, pouty lips, sharp chin, long hair, coarse hair, rope braid, small breasts, drop earrings, hot pink, satin lipstick, gold strappy bodysuit
germanium, pearl necklace, female viking, short, fit, heart-shaped face, dark skin, white hair, green eyes, short nose, thin lips, receding chin, shoulder-length hair, curly hair, middle part bangs, soft breasts, clip-on earrings, golden, stain lipstick, white sheer teddy with lace trim
germanium, pearl necklace, gal, average height, wide hips, triangular face, dark skin, golden blonde hair, light blue eyes, wide nose, pouty lips, sharp chin, long hair, coarse hair, bouncy curls, small breasts, huggie earrings, light pink, sheer lipstick, yellow lace halter bralette and thong set
germanium, pearl necklace, miss, tall, narrow hips, round face, fair skin, strawberry blonde hair, silver eyes, long nose, pouty lips, round chin, long hair, curly hair, braided updo, round breasts, clip-on earrings, magenta, satin lipstick, blue sheer babydoll with satin trim
germanium, pendant, mistress, average height, in shape, round face, tan skin, strawberry blonde hair, blue eyes, narrow nose, pouty lips, round chin, long hair, wavy hair, messy beach waves, soft breasts, clip-on earrings, burgundy, satin lipstick, yellow lace halter bralette and thong set
germanium, pendant, phenom, average height, toned, round face, fair skin, brunette hair, aquamarine eyes, narrow nose, thick lips, round chin, shoulder-length hair, curly hair, boho braid, large breasts, dangle earrings, cherry, sheer lipstick, red satin babydoll
germanium, pendant, songstress, short, athletic, oval face, dark skin, dark brown hair, grey eyes, short nose, pouty lips, receding chin, shoulder-length hair, straight hair, bob with bangs, saggy breasts, huggie earrings, nude, sheer lipstick, green silk bralette and panty set
germanium, pendant, trailblazer, short, in shape, triangular face, tan skin, brunette hair, gold eyes, short nose, full lips, receding chin, shoulder-length hair, straight hair, messy top knot, augmented breasts, faux gauge earrings, plum, metallic lipstick, blue strappy bodysuit with cutouts
germanium, slave bracelet, superwoman, average height, narrow hips, heart-shaped face, fair skin, light brown hair, teal eyes, straight nose, thin lips, prominent chin, long hair, fine hair, fauxhawk, natural breasts, cuff earrings, rose, metallic lipstick, green satin and lace garter belt with matching thong
germanium, statement necklace, lady, tall, thin, round face, tan skin, light brown hair, brown eyes with green flecks, long nose, full lips, prominent chin, shoulder-length hair, wavy hair, high messy bun, augmented breasts, cuff earrings, beige, sheer lipstick, turquoise sheer chemise with cutouts
germanium, tennis bracelet, phenom, average height, in shape, round face, dark skin, silver hair, brown eyes, [[curved nose]], full lips, receding chin, shoulder-length hair, straight hair, straight bob, small breasts, dangle earrings, shimmer, sheer lipstick, charcoal sheer bra and panty set
germanium, tennis bracelet, seductress, average height, wide hips, square face, fair skin, blonde hair, amethyst eyes, narrow nose, pouty lips, prominent chin, long hair, fine hair, afro, small breasts, huggie earrings, teal, velvet lipstick, black lace bustier
germanium, tennis necklace, seductress, short, athletic, round face, tan skin, blonde hair, blue eyes with green flecks, narrow nose, pouty lips, prominent chin, shoulder-length hair, coarse hair, herringbone braid, full breasts, cuff earrings, silver, metallic lipstick, red satin babydoll
germanium, toggle bracelet, trailblazer, tall, athletic, oval face, fair skin, platinum blonde hair, green eyes, long nose, thick lips, receding chin, shoulder-length hair, wavy hair, chignon, perky breasts, hoop earrings, grape, cream lipstick, black lace bustier
germanium, torc necklace, duchess, short, fit, triangular face, dark skin, chestnut hair, brown eyes with green flecks, [[curved nose]], pouty lips, sharp chin, shoulder-length hair, thick hair, fishtail crown braid, natural breasts, dangle earrings, rust, velvet lipstick, purple velvet robe with fur trim
germanium, vintage brooch, baroness, average height, lean, diamond-shaped face, olive skin, auburn hair, peach eyes, narrow nose, full lips, receding chin, shoulder-length hair, curly hair, wedding updo, saggy breasts, dangle earrings, orange, gloss lipstick, orange satin slip
germanium, vintage brooch, luminary, average height, toned, square face, olive skin, auburn hair, pink eyes, [[curved nose]], pouty lips, prominent chin, long hair, wavy hair, afro, augmented breasts, clip-on earrings, hot pink, sheer lipstick, black leather bralette and panty set
germanium, watch bracelet, heiress, tall, lean, square face, olive skin, golden blonde hair, blue eyes with green flecks, straight nose, thick lips, prominent chin, long hair, wavy hair, blunt cut bangs, large breasts, dangle earrings, cream, stain lipstick, white sheer teddy with lace trim
germanium, watch bracelet, luminary, average height, thin, round face, tan skin, blonde hair, hazel eyes, wide nose, pouty lips, receding chin, long hair, coarse hair, blunt cut bangs, asymmetrical breasts, cuff earrings, pink, stain lipstick, black leather bralette and panty set
germanium, watch bracelet, madam, short, fit, square face, fair skin, chestnut hair, grey eyes, long nose, pouty lips, receding chin, shoulder-length hair, thick hair, side-swept bangs, perky breasts, threader earrings, pink, gloss lipstick, fuchsia mesh halter bra and panty set
germanium, watch bracelet, miss, tall, athletic, triangular face, tan skin, honey blonde hair, blue eyes with green flecks, long nose, full lips, prominent chin, long hair, fine hair, blunt cut bangs, firm breasts, cuff earrings, berry, gloss lipstick, red satin babydoll
gold, animal brooch, songstress, tall, wide hips, square face, olive skin, blonde hair, amber eyes, straight nose, thin lips, receding chin, shoulder-length hair, curly hair, fishtail crown braid, soft breasts, stud earrings, soft pink, matte lipstick, black sheer teddy with floral applique
gold, ankle bracelet, chanteuse, tall, wide hips, square face, tan skin, black hair, blue eyes, straight nose, pouty lips, receding chin, shoulder-length hair, coarse hair, viking braid, natural breasts, threader earrings, burgundy, stain lipstick, cream sequin bra and pant set
gold, ankle bracelet, superwoman, average height, slim, square face, dark skin, auburn hair, light blue eyes, [[curved nose]], thick lips, sharp chin, long hair, fine hair, long straight hair, large breasts, clip-on earrings, burgundy, velvet lipstick, maroon satin and lace corset
gold, ankle bracelet, woman, tall, toned, round face, olive skin, gray hair, brown eyes, straight nose, pouty lips, receding chin, shoulder-length hair, straight hair, fishbone braid, saggy breasts, dangle earrings, shimmer, metallic lipstick, olive green mesh garter belt with stockings
gold, ankle cuff, female viking, tall, skinny, diamond-shaped face, olive skin, black hair, blue eyes with green flecks, [[curved nose]], full lips, prominent chin, long hair, straight hair, loose curls, small breasts, stud earrings, black, metallic lipstick, silver silk bra and panty set with garter belt
gold, ankle cuff, starlet, short, narrow hips, round face, olive skin, strawberry blonde hair, grey eyes, long nose, thick lips, sharp chin, long hair, fine hair, low messy bun, asymmetrical breasts, stud earrings, golden, satin lipstick, charcoal sheer bra and panty set
gold, ankle cuff, woman, tall, firm, triangular face, fair skin, gray hair, jade eyes, narrow nose, pouty lips, receding chin, shoulder-length hair, thick hair, sleek bun, natural breasts, faux gauge earrings, soft pink, metallic lipstick, fuchsia mesh halter bra and panty set
gold, ankle strap, lady, average height, in shape, oval face, dark skin, honey blonde hair, dark brown eyes, short nose, thin lips, round chin, long hair, coarse hair, viking braid, full breasts, drop earrings, magenta, stain lipstick, yellow lace garter belt
gold, ankle strap, madame, short, toned, oval face, tan skin, light brown hair, gray eyes, narrow nose, pouty lips, prominent chin, long hair, coarse hair, braided half up, asymmetrical breasts, drop earrings, silver, sheer lipstick, crimson velvet cami and short set
gold, bangle bracelet, enigma, average height, in shape, diamond-shaped face, tan skin, red hair, aquamarine eyes, short nose, full lips, sharp chin, long hair, thick hair, wavy bob, round breasts, stud earrings, black, satin lipstick, yellow mesh bralette and high-waisted panty set
gold, bangle bracelet, luminary, short, toned, square face, dark skin, white hair, light blue eyes, wide nose, thin lips, receding chin, shoulder-length hair, curly hair, side bangs, full breasts, clip-on earrings, terracotta, gloss lipstick, red mesh chemise with strappy back detail
gold, bangle bracelet, vixen, short, toned, triangular face, olive skin, red hair, brown eyes with green flecks, straight nose, pouty lips, receding chin, long hair, thick hair, tousled waves, perky breasts, cuff earrings, mauve, satin lipstick, orange satin slip
gold, beaded bracelet, countess, average height, skinny, triangular face, tan skin, chestnut hair, peach eyes, [[curved nose]], full lips, receding chin, long hair, fine hair, angled bob, natural breasts, drop earrings, orange, gloss lipstick, maroon satin and lace corset
gold, beaded bracelet, duchess, tall, athletic, oval face, fair skin, light brown hair, dark brown eyes, short nose, pouty lips, receding chin, shoulder-length hair, wavy hair, short afro, full breasts, clip-on earrings, lavender, sheer lipstick, maroon satin and lace corset
gold, beaded necklace, vixen, average height, athletic, oval face, tan skin, black hair, dark brown eyes, straight nose, pouty lips, sharp chin, long hair, coarse hair, braided updo, large breasts, hoop earrings, cherry, satin lipstick, black cutout bodysuit with zipper
gold, bib necklace, femme fatale, tall, skinny, heart-shaped face, fair skin, platinum blonde hair, yellow eyes, narrow nose, full lips, prominent chin, long hair, thick hair, straight bob with layers, round breasts, hoop earrings, brown, cream lipstick, green sequin slip dress with thigh-high slits
gold, bracelet, gal, tall, fit, heart-shaped face, dark skin, platinum blonde hair, dark brown eyes, long nose, full lips, sharp chin, long hair, straight hair, shaggy cut, full breasts, huggie earrings, nude, sheer lipstick, green silk bralette and panty set
gold, bracelet, starlet, short, skinny, round face, fair skin, platinum blonde hair, grey eyes, narrow nose, thin lips, round chin, long hair, coarse hair, triple braided crown, large breasts, dangle earrings, magenta, velvet lipstick, purple velvet bra and panty set with lace trim
gold, brooch pin, artist, tall, thin, oval face, fair skin, brunette hair, amber eyes, [[curved nose]], thick lips, prominent chin, shoulder-length hair, thick hair, low ponytail, full breasts, cuff earrings, magenta, sheer lipstick, navy blue satin garter belt with suspenders
gold, brooch pin, phenom, tall, firm, heart-shaped face, fair skin, chestnut hair, brown eyes, short nose, pouty lips, sharp chin, long hair, straight hair, fishtail crown braid, asymmetrical breasts, stud earrings, rust, matte lipstick, pink lace chemise with ruffle details
gold, brooch pin, seductress, short, thin, round face, fair skin, silver hair, blue eyes with green flecks, long nose, thin lips, sharp chin, shoulder-length hair, thick hair, messy bun, firm breasts, faux gauge earrings, black, cream lipstick, green satin robe with lace trim
gold, brooch pin, songstress, short, skinny, triangular face, dark skin, gray hair, ice blue eyes, long nose, thick lips, round chin, shoulder-length hair, curly hair, waterfall braid, full breasts, drop earrings, burgundy, stain lipstick, green satin robe with lace trim
gold, brooch, temptress, short, athletic, heart-shaped face, fair skin, auburn hair, sapphire eyes, straight nose, thin lips, receding chin, shoulder-length hair, coarse hair, bouncy curls, round breasts, hoop earrings, cherry, metallic lipstick, blue sheer babydoll with satin trim
gold, chain bracelet, temptress, tall, wide hips, heart-shaped face, fair skin, silver hair, amber eyes, [[curved nose]], thin lips, round chin, shoulder-length hair, straight hair, braided updo, firm breasts, faux gauge earrings, brown, cream lipstick, yellow lace halter bralette and thong set
gold, chain necklace, miss, tall, firm, heart-shaped face, dark skin, black hair, light blue eyes, narrow nose, thick lips, receding chin, shoulder-length hair, fine hair, long straight hair, full breasts, threader earrings, beige, metallic lipstick, charcoal sheer bra and panty set
gold, charm bracelet, seductress, average height, wide hips, round face, tan skin, brunette hair, green eyes, long nose, thick lips, round chin, long hair, curly hair, triple braided crown, firm breasts, huggie earrings, burgundy, satin lipstick, blue satin and lace cami and short set
gold, choker, female warrior, short, narrow hips, round face, fair skin, auburn hair, teal eyes, long nose, thin lips, sharp chin, long hair, wavy hair, half up half down, round breasts, faux gauge earrings, mauve, velvet lipstick, blue satin and lace cami and short set
gold, cocktail brooch, sensation, tall, slim, diamond-shaped face, dark skin, strawberry blonde hair, grey eyes, [[curved nose]], pouty lips, round chin, shoulder-length hair, curly hair, stacked bob, firm breasts, stud earrings, gloss, metallic lipstick, red lace bra and panty set with garter belt
gold, cocktail ring, lady, short, firm, heart-shaped face, dark skin, golden blonde hair, yellow eyes, short nose, pouty lips, prominent chin, shoulder-length hair, straight hair, braided updo, augmented breasts, stud earrings, lavender, matte lipstick, black mesh bodysuit with embroidered flowers
gold, flower brooch, vixen, short, skinny, oval face, fair skin, brunette hair, turquoise eyes, long nose, full lips, sharp chin, shoulder-length hair, coarse hair, french roll, soft breasts, threader earrings, nude, sheer lipstick, white sheer teddy with lace trim
gold, friendship bracelet, enigma, tall, slim, oval face, tan skin, black hair, gold eyes, short nose, thick lips, prominent chin, long hair, wavy hair, boho braid, asymmetrical breasts, huggie earrings, burgundy, sheer lipstick, orange satin slip
gold, friendship bracelet, gal, average height, slim, square face, olive skin, red hair, red eyes, wide nose, thick lips, round chin, long hair, curly hair, shaggy cut, asymmetrical breasts, cuff earrings, mauve, gloss lipstick, black leather bralette and panty set
gold, friendship bracelet, visionary, average height, lean, round face, tan skin, dark brown hair, jade eyes, narrow nose, thin lips, round chin, long hair, straight hair, four-strand braid, firm breasts, stud earrings, berry, velvet lipstick, pink floral corset
gold, locket necklace, goddess, average height, in shape, triangular face, tan skin, black hair, peach eyes, straight nose, full lips, prominent chin, shoulder-length hair, coarse hair, side-swept bangs, round breasts, threader earrings, green, cream lipstick, orange satin slip
gold, necklace, phenom, tall, narrow hips, diamond-shaped face, fair skin, gray hair, hazel eyes with green flecks, short nose, full lips, round chin, shoulder-length hair, straight hair, tapered afro, augmented breasts, dangle earrings, cream, velvet lipstick, purple velvet bra and panty set with lace trim
gold, pearl necklace, goddess, average height, fit, triangular face, olive skin, platinum blonde hair, grey eyes, long nose, thin lips, sharp chin, long hair, wavy hair, sock bun, full breasts, drop earrings, peach, sheer lipstick, gold mesh bra and panty set with garter belt
